loop,domain,checks,status,detail
4812,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4813,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4814,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4815,k5_help_wiki,11,PASS,Wiki-Topic ok
4816,k6_text_quality,200,PASS,en: 40 Werte sauber
4817,k7_update_path,6,PASS,Update-Pfad ok
4818,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4819,k9_dialog_invariants,1,PASS,account_data_hub.py: Invarianten ok
4820,k10_regression_shield,14,PASS,Regressionsschild intakt
4821,k1_first_run_path,11,PASS,Erststartpfad ok
4822,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4823,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4824,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4825,k5_help_wiki,11,PASS,Wiki-Topic ok
4826,k6_text_quality,200,PASS,fr: 40 Werte sauber
4827,k7_update_path,6,PASS,Update-Pfad ok
4828,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4829,k9_dialog_invariants,3,PASS,account_management_dialog.py: Invarianten ok
4830,k10_regression_shield,14,PASS,Regressionsschild intakt
4831,k1_first_run_path,11,PASS,Erststartpfad ok
4832,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4833,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4834,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4835,k5_help_wiki,11,PASS,Wiki-Topic ok
4836,k6_text_quality,200,PASS,de: 40 Werte sauber
4837,k7_update_path,6,PASS,Update-Pfad ok
4838,k8_key_discipline,65,PASS,Schluesseldisziplin ok
4839,k9_dialog_invariants,3,PASS,backup_restore_dialog.py: Invarianten ok
4840,k10_regression_shield,14,PASS,Regressionsschild intakt
4841,k1_first_run_path,11,PASS,Erststartpfad ok
4842,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4843,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4844,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4845,k5_help_wiki,11,PASS,Wiki-Topic ok
4846,k6_text_quality,188,PASS,en: 40 Werte sauber
4847,k7_update_path,6,PASS,Update-Pfad ok
4848,k8_key_discipline,66,PASS,Schluesseldisziplin ok
4849,k9_dialog_invariants,5,PASS,budget_adjustment_dialog.py: Invarianten ok
4850,k10_regression_shield,14,PASS,Regressionsschild intakt
4851,k1_first_run_path,11,PASS,Erststartpfad ok
4852,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4853,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4854,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4855,k5_help_wiki,11,PASS,Wiki-Topic ok
4856,k6_text_quality,197,PASS,fr: 40 Werte sauber
4857,k7_update_path,6,PASS,Update-Pfad ok
4858,k8_key_discipline,65,PASS,Schluesseldisziplin ok
4859,k9_dialog_invariants,5,PASS,budget_entry_dialog_extended.py: Invarianten ok
4860,k10_regression_shield,14,PASS,Regressionsschild intakt
4861,k1_first_run_path,11,PASS,Erststartpfad ok
4862,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4863,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4864,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4865,k5_help_wiki,11,PASS,Wiki-Topic ok
4866,k6_text_quality,194,PASS,de: 40 Werte sauber
4867,k7_update_path,6,PASS,Update-Pfad ok
4868,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4869,k9_dialog_invariants,3,PASS,budget_fill_dialog.py: Invarianten ok
4870,k10_regression_shield,14,PASS,Regressionsschild intakt
4871,k1_first_run_path,11,PASS,Erststartpfad ok
4872,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4873,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4874,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4875,k5_help_wiki,11,PASS,Wiki-Topic ok
4876,k6_text_quality,200,PASS,en: 40 Werte sauber
4877,k7_update_path,6,PASS,Update-Pfad ok
4878,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4879,k9_dialog_invariants,3,PASS,category_delete_dialog.py: Invarianten ok
4880,k10_regression_shield,14,PASS,Regressionsschild intakt
4881,k1_first_run_path,11,PASS,Erststartpfad ok
4882,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4883,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4884,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4885,k5_help_wiki,11,PASS,Wiki-Topic ok
4886,k6_text_quality,200,PASS,fr: 40 Werte sauber
4887,k7_update_path,6,PASS,Update-Pfad ok
4888,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4889,k9_dialog_invariants,1,PASS,category_excel_io.py: Invarianten ok
4890,k10_regression_shield,14,PASS,Regressionsschild intakt
4891,k1_first_run_path,11,PASS,Erststartpfad ok
4892,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4893,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4894,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4895,k5_help_wiki,11,PASS,Wiki-Topic ok
4896,k6_text_quality,200,PASS,de: 40 Werte sauber
4897,k7_update_path,6,PASS,Update-Pfad ok
4898,k8_key_discipline,61,PASS,Schluesseldisziplin ok
4899,k9_dialog_invariants,3,PASS,category_manager_dialog.py: Invarianten ok
4900,k10_regression_shield,14,PASS,Regressionsschild intakt
