loop,domain,checks,status,detail
5152,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5153,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5154,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5155,k5_help_wiki,11,PASS,Wiki-Topic ok
5156,k6_text_quality,200,PASS,fr: 40 Werte sauber
5157,k7_update_path,6,PASS,Update-Pfad ok
5158,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5159,k9_dialog_invariants,1,PASS,type_color_helper.py: Invarianten ok
5160,k10_regression_shield,14,PASS,Regressionsschild intakt
5161,k1_first_run_path,11,PASS,Erststartpfad ok
5162,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5163,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
