loop,domain,checks,result
820,d10_enter_defaults,1,PASS
821,d1_destructive,8,PASS
822,d2_a11y_i18n,1,PASS
823,d3_filter_hygiene,1,PASS
824,d4_focus_rules,1,PASS
825,d5_cockpit_presets,6,PASS
826,d6_placeholders,15,PASS
827,d7_refs,264,PASS
828,d8_scaling,1,PASS
829,d9_icon_buttons,1,PASS
830,d10_enter_defaults,1,PASS
831,d1_destructive,8,PASS
832,d2_a11y_i18n,1,PASS
833,d3_filter_hygiene,1,PASS
834,d4_focus_rules,1,PASS
835,d5_cockpit_presets,6,PASS
836,d6_placeholders,15,PASS
837,d7_refs,195,PASS
838,d8_scaling,1,PASS
839,d9_icon_buttons,1,PASS
840,d10_enter_defaults,1,PASS
841,d1_destructive,8,PASS
842,d2_a11y_i18n,1,PASS
843,d3_filter_hygiene,1,PASS
844,d4_focus_rules,1,PASS
845,d5_cockpit_presets,6,PASS
846,d6_placeholders,15,PASS
847,d7_refs,9,PASS
848,d8_scaling,1,PASS
849,d9_icon_buttons,1,PASS
850,d10_enter_defaults,1,PASS
851,d1_destructive,8,PASS
852,d2_a11y_i18n,1,PASS
853,d3_filter_hygiene,1,PASS
854,d4_focus_rules,1,PASS
855,d5_cockpit_presets,6,PASS
856,d6_placeholders,15,PASS
857,d7_refs,135,PASS
858,d8_scaling,1,PASS
859,d9_icon_buttons,1,PASS
860,d10_enter_defaults,1,PASS
861,d1_destructive,8,PASS
862,d2_a11y_i18n,1,PASS
863,d3_filter_hygiene,1,PASS
864,d4_focus_rules,1,PASS
865,d5_cockpit_presets,6,PASS
866,d6_placeholders,15,PASS
867,d7_refs,387,PASS
868,d8_scaling,1,PASS
869,d9_icon_buttons,1,PASS
870,d10_enter_defaults,1,PASS
871,d1_destructive,8,PASS
872,d2_a11y_i18n,1,PASS
873,d3_filter_hygiene,1,PASS
874,d4_focus_rules,1,PASS
875,d5_cockpit_presets,6,PASS
876,d6_placeholders,15,PASS
877,d7_refs,189,PASS
878,d8_scaling,1,PASS
879,d9_icon_buttons,1,PASS
880,d10_enter_defaults,1,PASS
881,d1_destructive,8,PASS
882,d2_a11y_i18n,1,PASS
883,d3_filter_hygiene,1,PASS
884,d4_focus_rules,1,PASS
885,d5_cockpit_presets,6,PASS
886,d6_placeholders,15,PASS
887,d7_refs,246,PASS
888,d8_scaling,1,PASS
889,d9_icon_buttons,1,PASS
890,d10_enter_defaults,1,PASS
891,d1_destructive,8,PASS
892,d2_a11y_i18n,1,PASS
893,d3_filter_hygiene,1,PASS
894,d4_focus_rules,1,PASS
895,d5_cockpit_presets,6,PASS
896,d6_placeholders,15,PASS
897,d7_refs,75,PASS
898,d8_scaling,1,PASS
899,d9_icon_buttons,1,PASS
900,d10_enter_defaults,1,PASS
901,d1_destructive,8,PASS
902,d2_a11y_i18n,1,PASS
903,d3_filter_hygiene,1,PASS
904,d4_focus_rules,1,PASS
905,d5_cockpit_presets,6,PASS
906,d6_placeholders,15,PASS
907,d7_refs,18,PASS
908,d8_scaling,1,PASS
909,d9_icon_buttons,1,PASS
910,d10_enter_defaults,1,PASS
911,d1_destructive,8,PASS
912,d2_a11y_i18n,1,PASS
913,d3_filter_hygiene,1,PASS
914,d4_focus_rules,1,PASS
915,d5_cockpit_presets,6,PASS
916,d6_placeholders,14,PASS
917,d7_refs,0,PASS
918,d8_scaling,1,PASS
919,d9_icon_buttons,1,PASS
920,d10_enter_defaults,1,PASS
921,d1_destructive,8,PASS
922,d2_a11y_i18n,1,PASS
923,d3_filter_hygiene,1,PASS
924,d4_focus_rules,1,PASS
925,d5_cockpit_presets,6,PASS
926,d6_placeholders,14,PASS
927,d7_refs,183,PASS
928,d8_scaling,1,PASS
929,d9_icon_buttons,1,PASS
930,d10_enter_defaults,2,PASS
931,d1_destructive,8,PASS
932,d2_a11y_i18n,1,PASS
933,d3_filter_hygiene,1,PASS
934,d4_focus_rules,1,PASS
935,d5_cockpit_presets,6,PASS
936,d6_placeholders,14,PASS
937,d7_refs,12,PASS
938,d8_scaling,1,PASS
939,d9_icon_buttons,1,PASS
940,d10_enter_defaults,1,PASS
941,d1_destructive,8,PASS
942,d2_a11y_i18n,1,PASS
943,d3_filter_hygiene,1,PASS
944,d4_focus_rules,1,PASS
945,d5_cockpit_presets,6,PASS
946,d6_placeholders,14,PASS
947,d7_refs,51,PASS
948,d8_scaling,1,PASS
949,d9_icon_buttons,1,PASS
950,d10_enter_defaults,1,PASS
951,d1_destructive,8,PASS
952,d2_a11y_i18n,1,PASS
953,d3_filter_hygiene,1,PASS
954,d4_focus_rules,1,PASS
955,d5_cockpit_presets,6,PASS
956,d6_placeholders,14,PASS
957,d7_refs,114,PASS
958,d8_scaling,1,PASS
959,d9_icon_buttons,1,PASS
960,d10_enter_defaults,1,PASS
961,d1_destructive,8,PASS
962,d2_a11y_i18n,1,PASS
963,d3_filter_hygiene,1,PASS
964,d4_focus_rules,1,PASS
965,d5_cockpit_presets,6,PASS
966,d6_placeholders,14,PASS
967,d7_refs,237,PASS
968,d8_scaling,1,PASS
969,d9_icon_buttons,1,PASS
970,d10_enter_defaults,1,PASS
971,d1_destructive,8,PASS
972,d2_a11y_i18n,1,PASS
973,d3_filter_hygiene,1,PASS
974,d4_focus_rules,1,PASS
975,d5_cockpit_presets,6,PASS
976,d6_placeholders,14,PASS
977,d7_refs,0,PASS
978,d8_scaling,1,PASS
979,d9_icon_buttons,1,PASS
980,d10_enter_defaults,1,PASS
981,d1_destructive,8,PASS
982,d2_a11y_i18n,1,PASS
983,d3_filter_hygiene,1,PASS
984,d4_focus_rules,1,PASS
985,d5_cockpit_presets,6,PASS
986,d6_placeholders,14,PASS
987,d7_refs,36,PASS
988,d8_scaling,1,PASS
989,d9_icon_buttons,1,PASS
990,d10_enter_defaults,1,PASS
991,d1_destructive,8,PASS
992,d2_a11y_i18n,1,PASS
993,d3_filter_hygiene,1,PASS
994,d4_focus_rules,1,PASS
995,d5_cockpit_presets,6,PASS
996,d6_placeholders,14,PASS
997,d7_refs,66,PASS
998,d8_scaling,1,PASS
999,d9_icon_buttons,1,PASS
1000,d10_enter_defaults,2,PASS
